week_start;total_reviews;num_products_reviewed;max_single_product_reviews;mean_reviews;std_reviews;gini_coefficient;week_on_week_change;spike_from_mean
2020-01-06;92;78;3;0.013935171160254469;0.13523250260619948;0.9897033836913716;0.0;0.0
2020-01-13;247;175;9;0.03741290518024841;0.2789811501013536;0.9797294894075774;168.47826086956525;45.72271386430678
2020-01-20;246;159;9;0.03726143592850651;0.2996826293697143;0.9827608288200422;-0.4048582995951455;26.153846153846157
2020-01-27;271;163;12;0.04104816722205392;0.34416290596895627;0.9831466703034192;10.162601626016254;26.635514018691588
2020-02-03;286;172;13;0.04332020599818237;0.3515090546850887;0.9820768446942334;5.535055350553497;8.952380952380953
2020-02-10;281;175;8;0.04256285973947289;0.3154939129231065;0.9811051541590438;-1.7482517482517501;3.6900369003690034
2020-02-17;295;197;9;0.04468342926385944;0.32044375107255324;0.9782947129529316;4.982206405693956;4.148278905560459
2020-02-24;302;190;12;0.04574371402605271;0.3384615018114667;0.9796278871945286;2.3728813559322104;3.7800687285223367
2020-03-02;281;176;8;0.04256285973947289;0.31693116331538523;0.9811159348887052;-6.9536423841059625;-3.019844693701467
2020-03-09;442;229;16;0.0669494092699182;0.4960697464264518;0.9780424415472618;57.29537366548043;33.939393939393945
2020-03-16;271;176;9;0.04104816722205392;0.32515036706152634;0.9811624789983131;-38.68778280542986;-16.358024691358025
2020-03-23;412;224;18;0.062405331717661314;0.46937558294269843;0.9784031317370729;52.02952029520296;17.21194879089616
2020-03-30;700;318;31;0.10602847621932748;0.7752984741885859;0.9725091963474272;69.90291262135922;53.42465753424658
2020-04-06;710;303;35;0.10754316873674644;0.8012303399128514;0.9742199333535292;1.4285714285714235;35.690396559961776
2020-04-13;677;313;19;0.10254468342926386;0.6792504634818748;0.9720251729814653;-4.647887323943667;8.363345338135254
2020-04-20;622;313;20;0.09421387458345956;0.6371091269887222;0.9710576839718258;-8.124076809453474;-8.157991878922113
2020-04-27;734;318;31;0.11117843077855195;0.8300881648544224;0.9731024452172449;18.0064308681672;7.036091870215093
2020-05-04;778;326;23;0.11784307785519539;0.84849225870253;0.9730045970333832;5.994550408719346;10.707933119886162
2020-05-11;855;326;24;0.1295062102393214;0.9194387964326942;0.9738018427873176;9.89717223650386;14.419538307126128
2020-05-18;794;333;19;0.12026658588306574;0.7877747468543113;0.97173591393189;-7.134502923976605;0.4745333755140778
2020-05-25;604;301;13;0.09148742805210543;0.5794989704281133;0.9717068478145294;-23.929471032745596;-20.29033322335863
2020-06-01;638;305;15;0.0966373826113299;0.6461925532849442;0.9726776060071091;5.629139072847678;-11.726046350743689
2020-06-08;774;351;23;0.11723720084822781;0.7864997086007504;0.9701206352784804;21.316614420062695;10.177935943060499
2020-06-15;781;366;17;0.11829748561042108;0.7181725432015295;0.9672580109003557;0.9043927648578753;11.691097604576333
2020-06-22;711;363;18;0.10769463798848834;0.628855821596197;0.9652969244711678;-8.962868117797695;-2.066115702479339
2020-06-29;720;350;23;0.1090578612541654;0.6604683968529278;0.9675683294624524;1.2658227848101333;-3.5498995311453454
2020-07-06;884;397;17;0.1338988185398364;0.7672308333910463;0.9646500923208516;22.777777777777786;14.21188630490956
2020-07-13;681;351;14;0.10315056043623144;0.624786522347218;0.9674065305712104;-22.963800904977372;-9.078771695594126
2020-07-20;807;356;33;0.12223568615571039;0.8037515997098278;0.9685580239850715;18.502202643171817;4.3984476067270375
2020-07-27;788;381;23;0.11935777037261436;0.7227288082714445;0.9651243970062909;-2.354399008674102;-0.25316455696202533
2020-08-03;735;350;25;0.11132990003029385;0.7144251895994944;0.968411757311225;-6.725888324873097;-2.3580205911657255
2020-08-10;813;391;19;0.12314450166616177;0.7019875175518293;0.9640011804540948;10.612244897959178;3.4680241807190577
2020-08-17;654;327;16;0.09906089063920025;0.6453561024294118;0.9701049723603357;-19.55719557195572;-12.508361204013378
2020-08-24;682;325;20;0.10330202968797333;0.6821404258913091;0.9705172430641741;4.281345565749239;-5.409153952843273
2020-08-31;778;377;26;0.11784307785519539;0.7788600316235088;0.9665759149093248;14.07624633431086;6.320464639562692
2020-09-07;941;410;18;0.1425325658891245;0.8312263592662904;0.9650595365910114;20.95115681233932;23.20785597381342
2020-09-14;943;443;20;0.1428355043926083;0.7702530900014832;0.9597886883469549;0.2125398512220933;12.799043062200957
2020-09-21;959;434;21;0.14525901242047864;0.8291113517217219;0.9612600409582965;1.6967126193001114;5.937586302126484
2020-09-28;1008;449;21;0.15268100575583157;0.8659683356447628;0.9606453431620048;5.109489051094895;4.700077901843677
2020-10-05;1150;477;23;0.17418963950318087;0.9738033543634212;0.9594570815167999;14.087301587301582;13.30049261083744
2020-10-12;1047;469;31;0.15858830657376552;0.8750923982653411;0.9583106563465038;-8.95652173913043;0.5763688760806917
2020-10-19;1021;492;20;0.15465010602847623;0.7756229803760726;0.9543739305543893;-2.483285577841454;-3.3601514434453383
2020-10-26;799;382;20;0.12102393214177522;0.7141207679194522;0.9649472852880703;-21.743388834476008;-20.43813791386607
2020-11-02;906;430;18;0.13723114207815815;0.7776288628112428;0.9608791368994478;13.39173967459324;-3.9491121123774184
2020-11-09;899;428;36;0.13617085731596487;0.9019985216291665;0.9623535727030506;-0.7726269315673329;-0.8
2020-11-16;961;434;55;0.14556195092396243;1.0955775199782936;0.9639132782579996;6.896551724137923;7.82608695652174
2020-11-23;921;430;48;0.1395031808542866;0.9946469030836257;0.9629475949281319;-4.162330905306977;-0.08136696501220504
2020-11-30;1176;470;41;0.17812784004847015;1.2841028432800228;0.9638449593712068;27.6872964169381;18.877937831690677
2020-12-07;1274;482;54;0.192971826719176;1.2952404857343787;0.9614179043789118;8.333333333333325;17.636195752539244
