week_start,total_reviews,num_products_reviewed,max_single_product_reviews,mean_reviews,std_reviews,gini_coefficient,week_on_week_change,spike_from_mean,anomaly_flag,anomaly_score
2020-01-13,247,175,9,0.03741290518024841,0.2789811501013536,0.9797294894075774,168.47826086956525,45.72271386430678,-1,-0.10118529335986326
2020-03-30,700,318,31,0.10602847621932748,0.7752984741885859,0.9725091963474272,69.90291262135922,53.42465753424658,-1,-0.012202240516301366
2021-06-21,2461,858,37,0.372765828536807,1.61127782340726,0.9332244633981723,56.951530612244895,46.44451056233264,-1,-0.039814790658957655
2021-06-28,3177,908,61,0.48121781278400483,2.2549973458210384,0.9359688411014604,29.093864282811865,49.47071277346507,-1,-0.12615795935456697
2021-07-05,3195,913,55,0.483944259315359,2.1720009104695746,0.934048107013619,0.56657223796035,22.872800692241128,-1,-0.09236667599931636
2022-02-14,2819,1158,20,0.4269918206604059,1.3646759920146208,0.8986133390303109,10.375880971025842,24.40423654015887,-1,-0.030135182953735518
2022-02-28,2903,1229,32,0.4397152378067252,1.4045668941256557,0.8921917209401049,13.53148220570981,7.190990492015138,-1,-0.09210970142000907
