minggu_standar,week_start,anomaly_score,week_on_week_change,spike_from_mean,tren_0,tren_1,tren_2,tren_3,tren_4,tren_5,tren_6,tren_7,tren_8,tren_9,tren_10,tren_11,tren_12,tren_13,skor_inversi,skor_intensitas_lonjakan,indeks_minat_publik
2020-01-06,2020-01-06,-0.0817842844835065,0.0,0.0,-0.121429114025847,-0.3382249654480598,-0.8666316755626625,-0.25791975894529995,-0.4094993774817847,0.01836025310569382,-0.6768660727190907,-1.0996766614341107,-1.2167260580377575,-0.31139341549978106,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,0.0817842844835065,0.0,-0.519487357676485
2020-01-13,2020-01-13,-0.1011852933598632,168.47826086956525,45.72271386430678,-0.121429114025847,-0.3382249654480598,-0.9403976885841961,-0.25791975894529995,-0.4094993774817847,0.01836025310569382,-0.6768660727190907,-1.0996766614341107,-0.4128890065800259,-0.31139341549978106,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,0.1011852933598632,0.1011852933598632,-0.46733942635961373
2020-01-20,2020-01-20,-0.0015196682495816,-0.4048582995951455,26.15384615384616,-0.01857931799302577,-0.3382249654480598,-0.7928656625411289,-0.25791975894529995,-0.4094993774817847,0.01836025310569382,-0.6768660727190907,-1.0996766614341107,-0.6602234839516357,-0.26074705726004754,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,0.0015196682495816,0.0,-0.4635041618636128
2020-01-27,2020-01-27,0.0126863224408535,10.162601626016254,26.635514018691588,0.08427047803979545,-0.3382249654480598,-0.7190996495195954,-0.25791975894529995,-0.4094993774817847,0.10459780557183072,-0.6768660727190907,-1.0996766614341107,0.20544718684899824,-0.15945434078058046,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,-0.0126863224408535,0.0,-0.3756601083778563
2020-02-03,2020-02-03,0.0406085927228538,5.535055350553497,8.952380952380953,-0.01857931799302577,-0.3382249654480598,-0.6453336364980617,-0.25791975894529995,-0.4094993774817847,0.10459780557183072,-0.6768660727190907,-1.0766210841958734,-0.5983898646087332,-0.15945434078058046,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,-0.0406085927228538,0.0,-0.4335076267514836
2020-02-10,2020-02-10,0.0568203979276504,-1.74825174825175,3.690036900369003,-0.121429114025847,-0.3382249654480598,-0.7928656625411289,-0.25791975894529995,-0.3822580025849278,0.36331046297024144,-0.6768660727190907,-1.0535655069576364,0.4527816642206079,-0.26074705726004754,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,-0.0568203979276504,0.0,-0.3614714410509485
2020-02-17,2020-02-17,0.050712414590022,4.982206405693956,4.148278905560459,-0.121429114025847,-0.3382249654480598,-0.8666316755626625,-0.25791975894529995,-0.4094993774817847,0.27707291050410454,-0.6768660727190907,-1.0535655069576364,0.7001161415922176,-0.26074705726004754,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,-0.38910870279580734,-0.050712414590022,0.0,-0.357179331266157
2020-02-24,2020-02-24,0.0479169740600421,2.3728813559322104,3.7800687285223367,2.3469659907618623,-0.3382249654480598,-0.2765035713903938,-0.25791975894529995,-0.4094993774817847,0.10459780557183072,-0.6768660727190907,-0.9613431980046878,-0.10372090986551386,1.9676927052882285,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,2.6146268928363097,-0.0479169740600421,0.0,0.17186414871265124
2020-03-02,2020-03-02,0.048886412101615,-6.9536423841059625,-3.019844693701467,1.6270174185321138,-0.3382249654480598,-0.35026958441192735,-0.25791975894529995,-0.4094993774817847,0.36331046297024144,-0.5486090540498254,-0.6846762711458422,0.3291144255348031,1.7651072723292942,-0.5522714299668222,-0.5832398388505508,-0.46819618980890987,0.7965764007431863,-0.048886412101615,0.0,0.049158536428615465
2020-03-09,2020-03-09,0.0161226837989334,57.29537366548043,33.939393939393945,9.85500110115781,-0.3382249654480598,1.936476819255614,-0.25791975894529995,-0.4094993774817847,-0.15411485182658,-0.09970948870739661,0.9753252900072317,0.26728080619190064,9.767231874207194,0.005396789217916791,-0.4469380295451073,-0.46819618980890987,4.669814405637232,-0.0161226837989334,0.0,1.807280315993697
2020-03-16,2020-03-16,-0.0253923440906894,-38.68778280542986,-16.358024691358025,6.35810803604189,-0.3382249654480598,4.51828727500929,-0.25791975894529995,-0.4094993774817847,-0.49906506169112763,0.7339611326428283,2.68143800563678,0.5146152835635103,5.918108647987444,0.5630650084026558,-0.10618350628149871,-0.46819618980890987,4.748860079206498,0.0253923440906894,0.0,1.7112396149167297
2020-03-23,2020-03-23,0.0171606037084413,52.02952029520296,17.21194879089616,1.8327170105977564,-0.3382249654480598,2.969201001557084,-0.25791975894529995,-0.19156837830692935,-0.5853026141572646,0.6698326233081956,3.511438786213317,-0.47472262592292835,2.879327153603432,8.742198889778829,-0.03803260162877699,0.06394246771909032,7.515458654130816,-0.0171606037084413,0.0,1.8784532601785184
2020-03-30,2020-03-30,-0.0122022405163013,69.90291262135922,53.42465753424658,0.9070688463023653,-0.3382249654480598,0.682454597889543,-0.25791975894529995,4.875327352508458,-0.5853026141572646,0.34919007663503215,2.9581049324956257,-0.35105538723712354,1.461229122890893,2.793737885141612,-0.10618350628149871,0.19697713210109036,4.1164946906523685,0.0122022405163013,0.0122022405163013,1.1929927431819816
2020-04-06,2020-04-06,0.0528384453235899,1.4285714285714235,35.690396559961776,0.5985194582039016,-0.3382249654480598,0.46115655882494216,-0.25791975894529995,4.875327352508458,-0.49906506169112763,0.09267603929650144,2.819771469066203,-0.5983898646087332,0.8534728240140904,1.306622633982308,0.030118303023944724,-0.0025748644719096997,1.9822615042821798,-0.0528384453235899,0.0,0.8088394020026712
2020-04-13,2020-04-13,0.1355143143352126,-4.647887323943667,8.363345338135254,0.2899700701054379,-0.3382249654480598,0.0923264937172742,-0.25791975894529995,5.0387756018896,-0.6715401666234014,-0.09970948870739661,2.35865992430146,-0.7838907226374404,0.4483019580962221,0.3771756020077428,0.030118303023944724,-0.46819618980890987,1.6660788100051147,-0.1355143143352126,0.0,0.5487089622125919
2020-04-20,2020-04-20,0.1259725541555388,-8.124076809453474,-8.157991878922113,0.08427047803979545,-0.3382249654480598,-0.20273755836886018,-0.25791975894529995,3.513258607665612,-0.6715401666234014,-0.03558097937276393,2.2664376153485115,-0.9693915806661477,0.2457165251372879,0.1912861956128298,-0.17433441093422042,-0.46819618980890987,0.7965764007431863,-0.1259725541555388,0.0,0.2842585865985399
2020-04-27,2020-04-27,0.1113157357822104,18.0064308681672,7.036091870215093,0.08427047803979545,-0.3382249654480598,-0.20273755836886018,-0.25791975894529995,2.9139483599347598,-0.5853026141572646,-0.16383799804202928,1.5286591437249233,-1.340393296723562,0.1444238086578208,0.1912861956128298,-0.24248531558694214,0.06394246771909032,0.5594393800353874,-0.1113157357822104,0.0,0.1682191661751849
2020-05-04,2020-05-04,0.143792716551991,5.994550408719346,10.707933119886162,-0.01857931799302577,-0.3382249654480598,-0.35026958441192735,-0.25791975894529995,2.6415346109661906,-0.49906506169112763,-0.2920950167112947,1.482547989248449,-1.340393296723562,0.043131092178353723,0.0983414924153733,-0.31063622023966386,-0.46819618980890987,0.32230235932758877,-0.143792716551991,0.0,0.05089129515450602
2020-05-11,2020-05-11,0.1172462750850106,9.89717223650386,14.419538307126128,-0.01857931799302577,-0.3382249654480598,-0.49780161045499455,-0.25791975894529995,2.8049828603473324,-0.5853026141572646,-0.16383799804202928,1.5747702982013974,-1.2167260580377575,0.043131092178353723,-0.08754791397953972,-0.24248531558694214,-0.46819618980890987,0.006119665050523818,-0.1172462750850106,0.0,0.03945586952312744
2020-05-18,2020-05-18,0.1499347406182568,-7.134502923976605,0.4745333755140778,-0.01857931799302577,-0.3382249654480598,-0.20273755836886018,-0.25791975894529995,2.6960173607599045,-0.5853026141572646,-0.09970948870739661,1.482547989248449,-0.722057103294538,0.1444238086578208,0.0983414924153733,-0.24248531558694214,-0.46819618980890987,-0.15197168208800865,-0.1499347406182568,0.0,0.0952961897630887
2020-05-25,2020-05-25,0.0571491870097075,-23.9294710327456,-20.29033322335863,-0.01857931799302577,-0.3382249654480598,0.1660925067388078,-0.25791975894529995,3.0773966093159015,-0.41282750922499073,-0.22796650737666196,1.2981033713425516,-0.8457243419803429,0.2457165251372879,0.2842308988102863,-0.24248531558694214,-0.46819618980890987,0.08516533861979005,-0.0571491870097075,0.0,0.16748438168574228
2020-06-01,2020-06-01,0.1082960247779792,5.629139072847678,-11.726046350743689,-0.01857931799302577,-0.3382249654480598,0.0923264937172742,-0.25791975894529995,1.2249831163296308,-0.41282750922499073,-0.22796650737666196,1.0675475989601804,-1.03122520000905,0.1444238086578208,0.0983414924153733,-0.24248531558694214,0.06394246771909032,-0.07292600851874241,-0.1082960247779792,0.0,0.00638645676404265
2020-06-08,2020-06-08,0.1484338510772002,21.31661442006269,10.1779359430605,-0.121429114025847,-0.3382249654480598,-0.20273755836886018,-0.25791975894529995,0.5711901188050645,-0.3265899567588538,-0.22796650737666196,0.8369918265778089,-1.5258941547522695,0.1444238086578208,-0.08754791397953972,-0.17433441093422042,-0.46819618980890987,-0.15197168208800865,-0.1484338510772002,0.0,-0.1664433184604169
