minggu_standar;tren_0;tren_1;tren_2;tren_3;tren_4;tren_5;tren_6;tren_7;tren_8;tren_9;tren_10;tren_11;tren_12;tren_13
2021-03-29;3;1.0;32;0.0;1.0;24;9;18.0;46;2.0;5;8.0;13;0
2021-04-05;2;1.0;30;0.0;1.0;20;10;16.0;38;2.0;4;8.0;10;0
2021-04-12;3;1.0;34;0.0;1.0;20;11;21.0;40;2.0;5;9.0;7;0
2021-04-19;2;1.0;29;0.0;2.0;20;9;29.0;39;2.0;5;9.0;0;0
2021-04-26;2;1.0;30;0.0;2.0;22;10;21.0;37;1.0;5;9.0;11;0
2021-05-03;2;1.0;26;0.0;1.0;22;10;20.0;31;2.0;4;9.0;10;0
2021-05-10;2;1.0;34;0.0;1.0;24;11;21.0;46;2.0;6;10.0;10;0
2021-05-17;3;1.0;34;0.0;1.0;22;11;21.0;31;2.0;7;11.0;9;0
2021-05-24;3;1.0;37;0.0;1.0;22;13;29.0;35;2.0;8;13.0;19;0
2021-05-31;3;1.0;42;0.0;1.0;24;15;27.0;37;2.0;11;18.0;23;4
2021-06-07;3;2.0;45;0.0;3.0;42;30;46.0;43;2.0;18;40.0;40;0
2021-06-14;3;4.0;70;0.0;5.0;92;61;84.0;70;3.0;34;75.0;65;0
2021-06-21;4;71.0;94;0.0;6.0;100;88;90.0;76;4.0;42;100.0;100;15
2021-06-28;3;100.0;100;0.0;4.0;87;100;99.0;91;4.0;42;88.0;94;38
2021-07-05;3;92.0;99;0.0;3.0;77;95;85.0;67;3.0;34;68.0;68;10
2021-07-12;2;83.0;71;0.0;2.0;58;73;66.0;57;3.0;29;51.0;46;4
2021-07-19;3;61.0;70;0.0;1.0;50;57;54.0;60;3.0;23;37.0;46;2
2021-07-26;2;70.0;55;0.0;1.0;35;45;56.0;48;2.0;20;25.0;36;4
2021-08-02;2;58.0;48;0.0;1.0;31;33;39.0;42;2.0;11;17.0;16;2
2021-08-09;2;31.0;39;0.0;1.0;26;24;34.0;38;2.0;8;11.0;18;3
2021-08-16;2;29.0;37;0.0;1.0;27;19;32.0;20;2.0;6;7.0;8;2
2021-08-23;2;19.0;33;0.0;1.0;28;14;28.0;34;2.0;4;5.0;9;3
2021-08-30;2;17.0;31;0.0;0.5;25;12;25.0;33;2.0;5;4.0;12;2
2021-09-06;2;11.0;28;0.0;0.5;25;9;23.0;32;2.0;3;3.0;0;2
2021-09-13;2;8.0;28;0.0;0.5;27;8;20.0;31;2.0;2;3.0;0;0
2021-09-20;2;4.0;29;0.0;0.5;28;7;17.0;34;1.0;2;2.0;0;0
2021-09-27;2;7.0;29;0.0;0.5;26;6;19.0;20;2.0;2;2.0;0;3
2021-10-04;2;3.0;28;0.0;0.5;24;6;18.0;36;2.0;2;1.0;0;0
2021-10-11;2;6.0;26;0.0;0.5;24;4;17.0;34;1.0;2;1.0;0;0
2021-10-18;2;3.0;26;0.0;0.5;23;5;15.0;31;1.0;2;1.0;0;0
2021-10-25;2;3.0;26;0.0;0.5;25;4;15.0;37;1.0;0;1.0;0;0
2021-11-01;2;2.0;28;0.0;0.5;25;3;14.0;29;1.0;0;1.0;0;10
2021-11-08;3;7.0;29;0.0;0.5;25;3;14.0;34;1.0;1;1.0;0;3
2021-11-15;3;8.0;29;0.5;0.5;26;3;12.0;43;1.0;2;1.0;0;0
2021-11-22;3;7.0;32;6.0;0.5;28;2;14.0;31;1.0;0;2.0;0;2
2021-11-29;3;11.0;29;3.0;0.5;25;3;12.0;36;1.0;0;1.0;0;0
2021-12-06;2;4.0;26;12.0;0.5;24;6;54.0;36;1.0;3;1.0;0;2
2021-12-13;2;3.0;23;9.0;0.5;24;4;11.0;36;1.0;0;1.0;0;0
2021-12-20;1;2.0;22;10.0;0.5;23;4;10.0;34;1.0;0;1.0;0;0
2021-12-27;2;3.0;26;15.0;0.5;23;4;13.0;48;1.0;0;1.0;0;0
2022-01-03;2;2.0;26;15.0;0.5;24;4;13.0;39;1.0;0;1.0;0;0
2022-01-10;2;3.0;24;17.0;0.5;20;6;21.0;57;1.0;0;2.0;0;15
2022-01-17;3;3.0;29;30.0;0.5;22;8;18.0;45;1.0;2;6.0;0;7
2022-01-24;3;4.0;36;70.0;0.5;25;14;26.0;68;1.0;3;14.0;15;6
2022-01-31;3;12.0;43;100.0;0.5;29;22;29.0;84;1.0;6;22.0;23;4
2022-02-07;3;6.0;47;86.0;0.5;26;26;28.0;85;2.0;6;20.0;28;5
2022-02-14;3;4.0;45;61.0;0.5;23;23;22.0;100;2.0;5;16.0;20;6
2022-02-21;3;3.0;36;32.0;0.5;23;17;16.0;78;1.0;3;9.0;14;5
2022-02-28;4;2.0;35;13.0;0.5;21;12;15.0;64;1.0;3;5.0;7;13
2022-03-07;4;2.0;30;6.0;0.5;22;7;12.0;54;1.0;2;3.0;0;11
2022-03-14;3;2.0;28;4.0;0.5;21;5;10.0;39;1.0;1;1.0;6;6
2022-03-21;3;1.0;28;3.0;0.5;21;4;9.0;43;1.0;0;1.0;0;5
2022-03-28;2;1.0;28;2.0;0.5;23;3;8.0;38;1.0;1;1.0;0;4
2022-04-04;2;1.0;26;2.0;0.5;20;2;7.0;44;1.0;2;1.0;0;4
2022-04-11;2;1.0;27;1.0;0.5;20;2;7.0;40;1.0;0;1.0;0;2
2022-04-18;2;1.0;24;1.0;0.5;19;2;5.0;36;1.0;0;0.5;0;6
2022-04-25;2;0.5;19;1.0;0.5;23;1;5.0;43;1.0;0;0.0;0;0
2022-05-02;2;3.0;28;1.0;0.5;22;2;6.0;43;1.0;0;1.0;0;2
2022-05-09;2;1.0;26;1.0;0.5;22;1;6.0;40;1.0;0;1.0;0;0
2022-05-16;2;1.0;26;1.0;0.5;22;1;5.0;36;1.0;0;0.5;0;2
2022-05-23;2;0.5;28;1.0;0.5;23;2;4.0;50;1.0;0;1.0;0;2
2022-05-30;2;1.0;29;1.0;0.5;22;1;6.0;40;1.0;0;1.0;0;2
2022-06-06;2;1.0;27;2.0;0.5;23;2;8.0;55;1.0;0;0.5;0;0
2022-06-13;2;1.0;26;2.0;0.5;21;3;7.0;54;1.0;0;1.0;0;0
